"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","4.7uF","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm",""
"2","C2","1","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","C3, C5","2","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"4","C4, C9","2","100uF","Capacitor_SMD:CP_Elec_6.3x7.7",""
"5","C6, C7, C11, C12, C13, C14, C15, C16, C17","9","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"6","C8, C10","2","22uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"7","D1","1","D_Bridge_+A-A","q_packages_sps:SOPA-4",""
"8","D2","1","~","Diode_SMD:D_SMA_Handsoldering",""
"9","D3, D6","2","S1J-13-F","Diode_SMD:D_SMA_Handsoldering",""
"10","D4","1","RED LED","LED_THT:LED_D3.0mm",""
"11","D5","1","MM3Z2V7B 2.7V","Diode_SMD:D_SOD-323_HandSoldering",""
"12","F1","1","Fuse","fuse_sps:fuseholder_20x5mm_keystone_4628",""
"13","J1","1","PIC Programming Header","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"14","J2","1","Wire Antenna","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical",""
"15","J3","1","Conn_WallSocket","Connector_JST:JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical",""
"16","J4, J5","2","Conn_01x01_Socket","connectors_sps:conn_harwin_S1941-46R",""
"17","K1","1","Relay_SPST-NO","relays_sps:relay_SPST_NO_panasonic_ALDP112W",""
"18","L1","1","1mH","Inductor_THT:L_Radial_D8.7mm_P5.00mm_Fastron_07HCP",""
"19","L2","1","4.7uH","inductors_sps:L_Bourns_SRN5040",""
"20","Q1","1","Q_NMOS_DGS","q_packages_sps:SOT-23_FDV301",""
"21","R1, R3, R4, R5, R6, R12, R14","7","10k","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"22","R2","1","31.6k","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"23","R7","1","13k","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"24","R8","1","2.05k","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"25","R9","1","30","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"26","R10","1","3.3k","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"27","R11","1","600","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"28","R13","1","30","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"29","R16","1","1k","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"30","R17","1","0","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"31","R18","1","102k","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"32","R19","1","34k","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"33","RV1","1","Varistor","Varistor:RV_Disc_D7mm_W3.4mm_P5mm",""
"34","SW1","1","SW_DIP_x04","switches_sps:DIP-8_SW_Horiz_Werth",""
"35","SW2","1","SW_MEC_5G_2LED","switches_sps:switch_right_angle_228DD1S1AAFAMSC",""
"36","U1","1","PIC16F18126","Package_SO:SSOP-20_5.3x7.2mm_P0.65mm",""
"37","U2","1","RFM69HCW","RF_Module:HOPERF_RFM69HW",""
"38","U3","1","LNK304G","Package_DIP:PowerIntegrations_SMD-8B",""
"39","U4","1","TPS56339DDC","Package_TO_SOT_SMD:SOT-23-6",""
"40","U5","1","TLV3201","Package_TO_SOT_SMD:TSOT-23-5_HandSoldering",""
