"Source:","C:\Users\Scott\Dropbox\my documents\Projects_and_Misc_Tech\1_PROJECTS\RF_OutletRemote\RemoteOutlet\RemoteOutlet.kicad_sch"
"Date:","1/25/2024 11:15:09 PM"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","58"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","ForwardVoltageDrop","PN","Part","Sim.Device","Sim.Library","Sim.Name","Sim.Params","Sim.Pins","Voltage"
="1","1","C1","4.7uF","Device:C_Polarized_US","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","","","","","","",""
="2","1","C2","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
="3","2","C3, C5","10uF","Device:C_Polarized_US","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","","","35V"
="4","2","C4, C9","100uF","Device:C_Polarized_US","Capacitor_SMD:CP_Elec_6.3x7.7","~","","","","","","","","","","35V"
="5","1","C6","0.1uF","Device:C_Polarized_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
="6","7","C7, C11, C12, C13, C14, C15, C16","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
="7","2","C8, C10","22uF","Device:C_Polarized_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
="8","1","D1","D_Bridge_+A-A","Device:D_Bridge_+A-A","q_packages_sps:SOPA-4","~","","","","","","","","","",""
="9","1","D2","~","Device:D","Diode_SMD:D_SMA_Handsoldering","~","","","","","D","","","","1=K 2=A",""
="10","2","D3, D6","S1J-13-F","Device:D","Diode_SMD:D_SMA_Handsoldering","~","","","","","D","","","","1=K 2=A",""
="11","1","D4","RED LED","Device:LED","LED_THT:LED_D3.0mm","~","","1.8V","","HLMP1700","","","","","",""
="12","1","D5","2.7V","Device:D_Zener","Diode_SMD:D_SOD-323_HandSoldering","https://www.onsemi.com/pdf/datasheet/mm3z9v1b-d.pdf","","","MM3Z2V7B","","","","","","",""
="13","1","F1","Fuse","Device:Fuse","fuse_sps:fuseholder_20x5mm_keystone_4628","~","","","","","","","","","",""
"14","1","J1","PIC Programming Header","Connector:Conn_01x06_Socket","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","","","","","","","",""
"15","1","J2","Wire Antenna","Connector:Conn_01x02_Socket","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","~","","","","","","","","","",""
="16","1","J3","Conn_WallSocket","Connector:Conn_WallSocket","Connector_JST:JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical","~","","","","","","","","","",""
="17","2","J4, J5","Conn_01x01_Socket","Connector:Conn_01x01_Socket","connectors_sps:conn_harwin_S1941-46R","~","","","","","","","","","",""
="18","1","K1","Relay_SPST-NO","Relay:Relay_SPST-NO","relays_sps:relay_SPST_NO_panasonic_ALDP112W","~","","","","","","","","","",""
="19","1","L1","1mH","Device:L","Inductor_THT:L_Radial_D8.7mm_P5.00mm_Fastron_07HCP","~","","","","","","","","","",""
="20","1","L2","4.7uH","Device:L","inductors_sps:L_Bourns_SRN5040","~","","","SRN5040-4R7M","","","","","","",""
="21","1","Q1","Q_NMOS_DGS","Device:Q_NMOS_DGS","q_packages_sps:SOT-23_FDV301","~","","","","","","","","","",""
="22","7","R1, R3, R4, R5, R6, R12, R14","10k","Device:R_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
="23","1","R7","13k","Device:R_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
="24","1","R8","2.05k","Device:R_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
="25","1","R9","10 - Fusible","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~","","","","","","","","","",""
="26","1","R10","3.3k","Device:R_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
="27","1","R11","600","Device:R_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
="28","1","R13","30","Device:R_Small_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
="29","1","R15","31.6k","Device:R_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
="30","1","R16","1k","Device:R_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
="31","1","R17","0","Device:R_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
="32","1","R18","102k","Device:R_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
="33","1","R19","34k","Device:R_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","",""
